DATE,TAVG,TMAX,TMIN
Apr-78,15.27,20.07,10.47
May-78,19.76,23.56,15.96
Jun-78,24.59,28.3,20.88
Jul-78,29.69,33.39,25.99
Aug-78,28.93,32.31,25.56
Sep-78,24.18,27.41,20.95
Oct-78,18.54,22.46,14.61
Nov-78,12.88,16.34,9.43
Dec-78,7.4,11.85,2.95
Jan-79,5.87,9.82,1.92
Feb-79,7.18,11.51,2.85
Mar-79,9.09,13.07,5.11
Apr-79,14.19,17.86,10.51
May-79,18.47,22.85,14.1
Jun-79,25.02,28.87,21.16
Jul-79,27.71,30.83,24.59
Aug-79,27.58,30.63,24.53
Sep-79,23.48,26.76,20.19
Oct-79,18.79,24.34,13.24
Nov-79,11.36,15.89,6.82
Dec-79,8.75,12.6,4.89
Jan-80,4.64,8.17,1.11
Feb-80,3.72,6.95,0.49
Mar-80,7.68,10.46,4.91
Apr-80,13.78,18.11,9.45
May-80,19.09,23.54,14.64
Jun-80,24.96,28.54,21.38
Jul-80,27.57,30.75,24.39
Aug-80,25.04,27.63,22.45
Sep-80,22.38,25.73,19.02
Oct-80,18.13,21.82,14.44
Nov-80,14.32,18.65,10
Dec-80,5.58,10.24,0.92
Jan-81,2.8,5.92,-0.32
Feb-81,5.63,9.17,2.09
Mar-81,10.67,14.26,7.09
Apr-81,15.36,19.12,11.6
May-81,20.34,25.21,15.46
Jun-81,24.26,27.93,20.58
Jul-81,28.78,32.09,25.47
Aug-81,28.19,31.42,24.96
Sep-81,22.58,25.63,19.52
Oct-81,16.89,20.57,13.21
Nov-81,11.04,14.07,8
Dec-81,5.81,10.29,1.32
Jan-82,4.6,8.46,0.73
Feb-82,5.27,7.94,2.61
Mar-82,9.43,12.81,6.05
Apr-82,14.02,18.22,9.81
May-82,21.63,26.42,16.84
Jun-82,23.41,27.03,19.79
Jul-82,26.88,30.15,23.61
Aug-82,27.35,30.27,24.42
Sep-82,23.14,26.33,19.95
Oct-82,20,23.81,16.18
Nov-82,13.79,17.05,10.52
Dec-82,6.03,10.48,1.57
Jan-83,4.77,8.57,0.96
Feb-83,5.11,8.54,1.68
Mar-83,9.14,12.75,5.53
Apr-83,15.58,19.56,11.6
May-83,20.8,24.36,17.25
Jun-83,22.49,25.38,19.6
Jul-83,28.01,31.56,24.45
Aug-83,28.25,31.93,24.56
Sep-83,24.79,27.96,21.61
Oct-83,18.77,21.62,15.93
Nov-83,12.23,16.6,7.85
Dec-83,5.79,10.12,1.47
Jan-84,2.74,6.2,-0.72
Feb-84,3.45,5.88,1.02
Mar-84,8.81,12.69,4.93
